Symbol,Last_Price,Industry,Sector
PLTR,131.41,Software - Infrastructure,Technology
PPG,131.34,Specialty Chemicals,Basic Materials
DORM,131.17,Auto Parts,Consumer Cyclical
WRLD,131.15,Credit Services,Financial Services
SN,131.06,"Furnishings, Fixtures & Appliances",Consumer Cyclical
GVA,130.93,Engineering & Construction,Industrials
SUI,130.79,REIT - Residential,Real Estate
BCO,130.69,Security & Protection Services,Industrials
MASI,130.15,Medical Devices,Healthcare
HOV,130.13,Residential Construction,Consumer Cyclical
AEP,129.94,Utilities - Regulated Electric,Utilities
BX,129.86,Asset Management,Financial Services
TMDX,129.84,Medical Devices,Healthcare
NNI,129.63,Credit Services,Financial Services
ALAB,129.32,Semiconductors,Technology
AFG,128.95,Insurance - Property & Casualty,Financial Services
UMBF,128.77,Banks - Regional,Financial Services
TSEM,128.74,Semiconductors,Technology
DUK,128.2,Utilities - Regulated Electric,Utilities
OMAB,128.15,Airports & Air Services,Industrials
XYL,128.09,Specialty Industrial Machinery,Industrials
STT,127.97,Asset Management,Financial Services
SENEA,127.68,Packaged Foods,Consumer Defensive
ACA,127.47,Engineering & Construction,Industrials
SNEX,127.42,Capital Markets,Financial Services
GWRE,127.03,Software - Application,Technology
PCAR,127.0,Farm & Heavy Construction Machinery,Industrials
CDW,126.86,Information Technology Services,Technology
CHCO,126.65,Banks - Regional,Financial Services
ZTS,126.65,Drug Manufacturers - Specialty & Generic,Healthcare
BTSGU,126.39,Health Information Services,Healthcare
DLTR,126.06,Discount Stores,Consumer Defensive
CRH,125.97,Building Materials,Basic Materials
CLX,125.94,Household & Personal Products,Consumer Defensive
A,125.81,Diagnostics & Research,Healthcare
NEM,125.8,Gold,Basic Materials
NRP,125.41,Thermal Coal,Energy
HURN,125.36,Consulting Services,Industrials
PAYC,125.31,Software - Application,Technology
ARM,125.28,Semiconductors,Technology
DDOG,125.2,Software - Application,Technology
FLUT,125.17,Gambling,Consumer Cyclical
APO,125.07,Asset Management,Financial Services
ABVX,124.99,Biotechnology,Healthcare
ALV,124.98,Auto Parts,Consumer Cyclical
KEX,124.93,Marine Shipping,Industrials
OLED,124.9,Electronic Components,Technology
NPK,124.47,Aerospace & Defense,Industrials
NBIX,124.12,Drug Manufacturers - Specialty & Generic,Healthcare
DCO,123.96,Aerospace & Defense,Industrials
SII,123.18,Asset Management,Financial Services
HLNE,122.76,Asset Management,Financial Services
